id;quest;completed;voice;emotion;text;output_path
0;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] Yes, of course.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_1.xwm
1;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] A long time ago... [I'M HAPPY] Krev and I were Companions. [I'M HAPPY] We were almost like twin brothers, we were inseparable in the battles.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_2.xwm
2;DSilHand_A02LoreDialogs;error;maleeventonedaccentedanger;anger;[I'M ANGRY] But one day... [I'M ANGRY] We both were invited to ascend to the circle.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_3.xwm
3;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] Fortunately, Krev noticed what the circle was about, and we fled before being forced to drink the cursed wolf's blood.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_4.xwm
4;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] We fled from Whiterun, and sometime later we discovered about the Silver Hands.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_5.xwm
5;DSilHand_A02LoreDialogs;error;maleeventonedaccentedsad;sad;[I'M SAD] They didn't know but when Krev was a little kid, his mother was murdered by a werewolf...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_6.xwm
6;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] Since then, we have been fighting for the Silver Hand.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_7.xwm
7;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] We have been hiring valiant warriors who hate werewolves and Daedra more than anything.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_8.xwm
8;DSilHand_A02LoreDialogs;true;maleorcneutral;neutral; It happened many years ago when I was still a young Orc.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_1.xwm
9;DSilHand_A02LoreDialogs;error;maleorcneutral;neutral; Before living here at Gallows Rock I used to live in an Orc stronghold in Hammerfell, close to Falkreath.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_2.xwm
10;DSilHand_A02LoreDialogs;ongoing;maleorcneutral;neutral; It was there where I learned about smiting and forging.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_3.xwm
11;DSilHand_A02LoreDialogs;false;maleorcneutral;neutral; We Orcs have been forging iron, steel, and orichalcum for millennia.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_4.xwm
12;DSilHand_A02LoreDialogs;false;maleorcneutral;neutral; But our stronghold was above a Silver Mine.  And some few miles away there was an ancient Dwammer ruin.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_5.xwm
13;DSilHand_A02LoreDialogs;false;maleorchappy;happy;[I'M HAPPY] As you can imagine, I had the opportunity to experiment a lot with these materials before coming here.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_6.xwm
14;DSilHand_A02LoreDialogs;false;maleorcsad;sad;[I'M SAD] One day I decided to challenge the stronghold leadership, and lost the fight.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_7.xwm
15;DSilHand_A02LoreDialogs;false;maleorcneutral;neutral; I was lucky to escape alive.  I was afraid, and hide in a cave.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_8.xwm
16;DSilHand_A02LoreDialogs;false;maleorcfear;fear;[I'M SCARED] I thought it was a safe place, but I was wrong. [I'M SCARED] A wild werewolf appeared and came after me.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_9.xwm
17;DSilHand_A02LoreDialogs;false;maleorcsad;sad;[I'M SAD] I was injured and could not fight. [I'M SAD] I thought that was the end for me.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_10.xwm
18;DSilHand_A02LoreDialogs;false;maleorchappy;happy;[I'M HAPPY] But suddenly Krev and Fjol appeared and killed the beast.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_11.xwm
19;DSilHand_A02LoreDialogs;false;maleorchappy;happy;[I'M HAPPY] My life had gained a new purpose. [I'M HAPPY] I Joined the Silver Hands and I'm helping with the forge since then.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_12.xwm
20;DSilHand_A02LoreDialogs;false;femaleeventonedneutral;neutral; That's a long story...  I was a member of a hunter's guild in Valenwood some years ago.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_1.xwm
21;DSilHand_A02LoreDialogs;false;femaleeventonedhappy;happy;[I'M HAPPY] But I always wanted to travel to the other provinces in Tamriel. [I'M HAPPY] To explore the world...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_2.xwm
22;DSilHand_A02LoreDialogs;false;femaleeventonedpuzzled;puzzled;[I'M PUZZLED] In my researches, I discovered about some werewolf hunters here in Skyrim. [I'M PUZZLED] But I couldn't find any clear information about where they reside.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_3.xwm
23;DSilHand_A02LoreDialogs;false;femaleeventonedpuzzled;puzzled;[I'M PUZZLED] I went to Whiterun, to seek information. [I'M PUZZLED] But some people started to act strangely towards me.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_4.xwm
24;DSilHand_A02LoreDialogs;false;femaleeventonedanger;anger;[I'M ANGRY] In the next day a strong guy punched me in the face, and summoned me to leave the city in twenty-four hours if I wanted to stay alive.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_5.xwm
25;DSilHand_A02LoreDialogs;false;femaleeventonedsad;sad;[I'M SAD] I tried to talk with the guards, but it was useless.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_6.xwm
26;DSilHand_A02LoreDialogs;false;femaleeventonedneutral;neutral; In the same day I was heading back to Vallenwod.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_7.xwm
27;DSilHand_A02LoreDialogs;false;femaleeventonedhappy;happy;[I'M HAPPY] But, when I was outside the city, a farmer came toward me and told me where I should go to meet the Werewolf Hunters.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_8.xwm
28;DSilHand_A02LoreDialogs;false;femaleeventonedhappy;happy;[I'M HAPPY] I joined and I'm here since then. [I'M HAPPY] Later I discovered that the farmer was Irrokas, our spy.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_9.xwm
29;DSilHand_A02LoreDialogs;false;femaleeventonedneutral;neutral; But, when I was outside the city, a farmer came toward me and told me where I should go to meet the Werewolf Hunters.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_10.xwm
30;DSilHand_A02LoreDialogs;false;malekhajiithappy;happy;[I'M HAPPY] Well, it happened some years ago after I fled from Cyrodil.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_1.xwm
31;DSilHand_A02LoreDialogs;false;malekhajiitsad;sad;[I'M SAD] I was a prisoner in Bruma... [I'M SAD] I had some problems with the guards in the city.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_2.xwm
32;DSilHand_A02LoreDialogs;false;malekhajiitneutral;neutral; I managed to escape and fled to Skyrim...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_3.xwm
33;DSilHand_A02LoreDialogs;false;malekhajiitsad;sad;[I'M SAD] When I finished the Pale Pass' crossing and arrived in Skyrim, I was freezing to death and starving...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_4.xwm
34;DSilHand_A02LoreDialogs;false;malekhajiithappy;happy;[I'M HAPPY] Then, a Silver Hand group led by Krev found me. [I'M HAPPY] They gave me food and shelter.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_5.xwm
35;DSilHand_A02LoreDialogs;false;malekhajiithappy;happy;[I'M HAPPY] They received me as a brother. [I'M HAPPY] No one outside Elsweyr had ever treated me like this before.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_6.xwm
36;DSilHand_A02LoreDialogs;false;malekhajiithappy;happy;[I'M HAPPY] I'm here since then.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A02Se__00011A66_7.xwm
37;DSilHand_A03PlayerHouse;false;malekhajiitneutral;neutral; Very well!;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE3E_1.xwm
38;DSilHand_A03PlayerHouse;false;malekhajiitneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE3C_1.xwm
39;DSilHand_A03PlayerHouse;false;malekhajiitneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE39_1.xwm
40;DSilHand_A03PlayerHouse;false;malekhajiitneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE37_1.xwm
41;DSilHand_A03PlayerHouse;false;malekhajiitneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE35_1.xwm
42;DSilHand_A03PlayerHouse;false;malekhajiithappy;happy;[I'M HAPPY] All right.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE33_1.xwm
43;DSilHand_A03PlayerHouse;false;malekhajiithappy;happy;[I'M HAPPY] I'll make the arrangements. [I'M HAPPY] The next time you go to your quarter, your new furnishings will be in place.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE31_1.xwm
44;DSilHand_A03PlayerHouse;false;malekhajiithappy;happy;[I'M HAPPY] I'll be glad to help you improve your quarters, if you have the coin.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE2F_1.xwm
45;DSilHand_A03PlayerHouse;false;malekhajiitneutral;neutral; Now, what things you would like me to purchase?;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE2F_2.xwm
46;DSilHand_iM90Trigger;false;maleeventonedaccentedneutral;neutral; Ow...  let me see...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_i_DSilHand_iM90_A_00049F51_1.xwm
47;DSilHand_iM90Trigger;false;maleeventonedaccentedneutral;neutral; I see...  So what Vignar said was true...  Kodlack was trying to find a cure...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_i_DSilHand_iM90_A_00049F51_2.xwm
48;DSilHand_iM90Trigger;false;maleeventonedaccentedneutral;neutral; So...  the witches responsible for the curse are on Glenmoril Coven...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_i_DSilHand_iM90_A_00049F51_3.xwm
49;DSilHand_iM90Trigger;false;maleeventonedaccentedneutral;neutral; He believed that he could achieve the cure by burning a Witch's head in the Flame of the Harbinger...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_i_DSilHand_iM90_A_00049F51_4.xwm
50;DSilHand_iM90Trigger;false;maleeventonedaccentedneutral;neutral; Since he has regret at the end of his life, the least we should do is try to save his soul in this way.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_i_DSilHand_iM90_A_00049F51_5.xwm
51;DSilHand_iM90Trigger;false;maleeventonedaccentedneutral;neutral; We shall do that in honor of Ysgramor.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_i_DSilHand_iM90_A_00049F51_6.xwm
52;DSilHand_iS01Trigger;false;maleorcneutral;neutral; Perfect!  I need 20 vessels of Dwrammer oil, 20 pots of fire salts, 10 pots of void salts, and 20 ingots of quicksilver.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F78B_1.xwm
53;DSilHand_iS01Trigger;false;maleorcneutral;neutral; Ok.  Come back if you change your mind.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F78C_1.xwm
54;DSilHand_iS01Trigger;false;maleorcneutral;neutral; Ah, yes...  Fjol discovered this method in some ancient books he found in a lost ruin.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F789_1.xwm
55;DSilHand_iS01Trigger;false;maleorcneutral;neutral; We worked hard on mastering the method.  After many tries, we could reconstruct this ancient recipe.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F789_2.xwm
56;DSilHand_iS01Trigger;false;maleorcneutral;neutral; Unfortunately, we are running out of the materials required.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F789_3.xwm
57;DSilHand_iS01Trigger;false;maleorcneutral;neutral; Let's make a deal: you go search for the materials, I will teach you everything I know about silver forgering.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F789_4.xwm
58;DSilHand_iS01Trigger;false;maleorcsurprise;surprise;[I'M SURPRISED] Yes, I'm. [I'M SURPRISED] I believe you are the new recruit, right? [I'M SURPRISED] I heard a lot about you.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_i_DSilHand_iS01FM_0003F786_1.xwm
59;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; Good look out there.  May Ysgramor guide your path.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DFA_1.xwm
60;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; Good look out there.  May Ysgramor guide your path.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF9_1.xwm
61;DSilHand_M10SilverHunt;false;malecommonerdisgust;disgust;[THIS IS DISGUSTING] The Companions in Whiterun...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF3_1.xwm
62;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; Go to Cold Rock Pass and kill the Frost Troll living there.  The bigger one.  Come back with a proof of your hunt.  Then we may talk again.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF0_1.xwm
63;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; If  you are unable to kill that frost troll, you will be unable to kill werewolves anyway.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF0_2.xwm
64;DSilHand_M10SilverHunt;false;malecommoneranger;anger;[I'M ANGRY] So get you of here before I kill you.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF5_1.xwm
65;DSilHand_M10SilverHunt;false;malecommoneranger;anger;[I'M ANGRY] So get you of here before I kill you.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF4_1.xwm
66;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; So get you of here before I kill you.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF6_1.xwm
67;DSilHand_M10SilverHunt;false;malecommonerdisgust;disgust;[THIS IS DISGUSTING] That's because we have powerful enemies out there...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DF1_1.xwm
68;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; That is not a simple question.  As I said, our group eighter hunts and is persecuted by powerful enemies.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DEE_1.xwm
69;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; First we have to know if you are trustful and worth joining us.  Therefore, you must complete an initiation task.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DEE_2.xwm
70;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; We are the Silver Hand.  We are werewolf hunters.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DE7_1.xwm
71;DSilHand_M10SilverHunt;false;malecommoneranger;anger;[I'M ANGRY] So get out of here!;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DE5_1.xwm
72;DSilHand_M10SilverHunt;false;malecommonerneutral;neutral; Stop right there.  What do you want?;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M10GG__00009DE3_1.xwm
73;DSilHand_M10SilverHunt;false;malenorddisgust;disgust;[THIS IS DISGUSTING] I can sense the presence of evil daedra here in this city. [THIS IS DISGUSTING] Go to Gallows Rock if you want to know the truth.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10DH__00009878_1.xwm
74;DSilHand_M10SilverHunt;false;malenorddisgust;disgust;[THIS IS DISGUSTING] I can smell a dirty wolf's stink in this city... [THIS IS DISGUSTING] My senses do not fool me. [THIS IS DISGUSTING] There is daedric influence nearby.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10DH__00009875_1.xwm
75;DSilHand_M10SilverHunt;false;malenordneutral;neutral; Now, you are officially a silver hand initiate.  Take this armor and shield.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_1.xwm
76;DSilHand_M10SilverHunt;false;malenordneutral;neutral; They are not expensive ones, but are especially good to protect against the cold weather of the ice fields.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_2.xwm
77;DSilHand_M10SilverHunt;false;malenordneutral;neutral; Take this weapon!  It is a Silver sword.  It will protect you against the foul creatures we fight.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_3.xwm
78;DSilHand_M10SilverHunt;false;malenordneutral;neutral; I will give you this book too, it is called Songs of Return, volume seven.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_4.xwm
79;DSilHand_M10SilverHunt;false;malenordneutral;neutral; Read it!  You will learn more about the Ysgramor and its legacy.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_5.xwm
80;DSilHand_M10SilverHunt;false;malenordneutral;neutral; Each Silver Hand must read one of this.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_6.xwm
81;DSilHand_M10SilverHunt;false;malenordneutral;neutral; Downstairs, there is a library, where you will find others useful books, if you are interested.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED7_7.xwm
82;DSilHand_M10SilverHunt;false;malenorddisgust;disgust;[THIS IS DISGUSTING] We fight against these beasts to cleanse this foul daedric disease that has taken the sanity of many of our brothers and sisters here on Skyrim.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_1.xwm
83;DSilHand_M10SilverHunt;false;malenordanger;anger;[I'M ANGRY] But worst, this curse corrupted the souls of many sons of Skyrim, taking them away from Sovngarde in exchange of an ephemeral power in life.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_2.xwm
84;DSilHand_M10SilverHunt;false;malenorddisgust;disgust;[THIS IS DISGUSTING] But you must be aware. [THIS IS DISGUSTING] No only beggars and forgotten people have lycanthropy here on Skyrim.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_3.xwm
85;DSilHand_M10SilverHunt;false;malenordanger;anger;[I'M ANGRY] Many influential and powerful people have this curse... [I'M ANGRY] or 'gift' as they say...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_4.xwm
86;DSilHand_M10SilverHunt;false;malenordneutral;neutral; If you become a Silver Hand, you will have to fight against strong people, but also politically powerful  as well.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_5.xwm
87;DSilHand_M10SilverHunt;false;malenordpuzzled;puzzled;[I'M PUZZLED] After all I said, do you still want to become a Silver Hand?;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000EED4_6.xwm
88;DSilHand_M10SilverHunt;false;malenordneutral;neutral; This is an honor cause that every sons and daughters of Skyrim who wish to go Sovngarde one day, must fight for.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000E96F_1.xwm
89;DSilHand_M10SilverHunt;false;malenordneutral;neutral; But I have more things to say before you can join us.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000E96F_2.xwm
90;DSilHand_M10SilverHunt;false;malenordneutral;neutral; An adventure seeker eh?  We need more people like you here.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000E96D_1.xwm
91;DSilHand_M10SilverHunt;false;malenordneutral;neutral; But I have more things to say before you can join us.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000E96D_2.xwm
92;DSilHand_M10SilverHunt;false;malenordhappy;happy;[I'M HAPPY] Yes I'm! [I'M HAPPY] Welcome! [I'M HAPPY] You did well against the frost troll on the Cold Rock Pass. [I'M HAPPY] Congratulations! [I'M HAPPY] You proceed well on our initiation.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000E96B_1.xwm
93;DSilHand_M10SilverHunt;false;malenordneutral;neutral; But, before we proceed, I have a question.  Why do you want to join the Silver Hands?;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleNord\DSilHand_M_DSilHand_M10GMK_0000E96B_2.xwm
94;DSilHand_M10SilverHunt;false;malecommonerhappy;happy;[I'M HAPPY][I'M ECSTATIC] I knew you would succedded. [I'M HAPPY][I'M ECSTATIC] Go talk to 'Krev the Skinner', our leader. [I'M HAPPY][I'M ECSTATIC] He is in the main Hall. [I'M HAPPY][I'M ECSTATIC] He is waiting for you. [I'M HAPPY][I'M ECSTATIC] Good Luck!;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSIlHand_M10GAT_0000DEA3_1.xwm
